id,title,category,description,image,price
PH-AUD-001,Parlante Amazon Echo Dot,Audio,Asistente inteligente - Color Azul,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/echo-dot-blue.jpg,3150
PH-HER-002,Sopladora Mini,Herramientas,Turbina x3a - Potente y compacta,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/mini-blower.jpg,1776
PH-AUD-003,Parlante Bluetooth,Audio,Con Linterna, usb microsd, radio,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/bluetooth-speaker.jpg,426
PH-HOG-004,Botella Brio 500ml,Hogar,Color Blanco - Acero inoxidable,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/brio-bottle-white.jpg,764
PH-AUT-005,Inflador Universal,Automotriz,Portatil, auto moto bici, pantalla, linterna,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/universal-inflator.jpg,1498
PH-AUD-006,Auriculares Manos Libres,Audio,Bluetooth 5,3 - Conexión estable,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/bluetooth-headset.jpg,498
PH-ILU-007,Farol Led,Iluminación,Simil Camara con control remoto,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/led-lantern.jpg,906
PH-GAM-008,Joystick,Gaming,Bluetooth 5,3 - Compatible con múltiples dispositivos,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/bluetooth-controller.jpg,848
PH-BEL-009,Lapiz Premium torno,Belleza,Para uñas y conector Plug incluido,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/nail-drill-pen.jpg,1098
PH-ACC-010,Mochila Chuwi,Accesorios,Color Azul para laptop 15,6 pulgadas,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/chuwi-backpack.jpg,810
PH-SEG-011,Timbre Inalambrico,Seguridad,Para exterior con alcance de 50 metros,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/wireless-doorbell.jpg,848
PH-MAS-012,Maquina Corta pelo Kemel,Mascotas,Especial para mascotas - Bajo ruido,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/pet-clipper.jpg,998
PH-MOV-013,Xiaomi Redmi A3X,Móviles,Smartphone Android - Última generación,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/redmi-a3x.jpg,5214
PH-AUD-014,Auriculares Smartilike,Audio,Modelo MT-BH01 - Alta fidelidad,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/smartilike-headphones.jpg,756
PH-ILU-015,Aro Anillo de Luz Led,Iluminación,Ideal para fotografía y video,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/ring-light.jpg,426
PH-AUD-016,Micrófono Inalámbrico,Audio,Con soporte para celular - Karaoke,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/wireless-mic.jpg,568
PH-BEL-017,Buclera Sokany,Belleza,Rizador de cabello profesional,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/sokany-curler.jpg,650
PH-HOG-018,Botella Brio 500ml Negra,Hogar,Acero inoxidable - Diseño elegante,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/brio-bottle-black.jpg,764
PH-COC-019,Sandwichera Niza,Cocina,Placas antiadherentes - Fácil limpieza,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/niza-sandwich.jpg,1000
PH-BEL-020,Planchita Sokany,Belleza,Para cabello - Temperatura regulable,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/sokany-straightener.jpg,800
PH-COC-021,Brochetera Sokany,Cocina,Para brochetas y pinchos - Antiadherente,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/sokany-skewer.jpg,1500
PH-HOG-022,Balanza Digital,Hogar,Con Display hasta 40kg - Alta precisión,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/digital-scale-40kg.jpg,1598
PH-COC-023,Tostadora Sonifer,Cocina,2 rebanadas - Control de tostado,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/sonifer-toaster.jpg,1110
PH-BEL-024,Cortadora de Pelo Premium Sonifer,Belleza,Recargable - Múltiples accesorios,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/sonifer-clipper.jpg,998
PH-HOG-025,Zapatero 5 Pisos Con Perchero,Hogar,Organizador multifuncional - Fácil montaje,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/shoe-rack-5tier.jpg,768
PH-HOG-026,Balanza Digital Sonifer,Hogar,Diseño elegante - Pantalla LCD,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/sonifer-scale.jpg,840
PH-COC-027,Grill Eléctrico Sonifer,Cocina,Superficie antiadherente - Fácil limpieza,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/sonifer-grill.jpg,2000
PH-DEP-028,Bicicleta Fija,Deportes,Para ejercicio en casa - Resistencia ajustable,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/stationary-bike.jpg,1256
PH-HER-029,Taladro Lumax,Herramientas,Potente y versátil - Incluye accesorios,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/lumax-drill.jpg,1198
