id,title,category,description,image,price
HOG001,Acolchado 2 Plazas,Hogar,"Acolchado premium para cama de 2 plazas, medidas 2x2,35m. Suave al tacto, reversible y lavable. Ideal para todas las estaciones.",HOG001_acolchado_2_plazas,1298
HOG002,Acolchado Liso 2 Plazas Gris,Hogar,"Acolchado liso color gris para cama de 2 plazas. Diseño moderno, material de alta calidad y resistencia. Fácil de lavar y mantener.",HOG002_acolchado_liso_2_plazas_gris,1070
HOG003,Acolchado Liso 2 Plazas Blanco,Hogar,"Acolchado liso color blanco para cama de 2 plazas. Elegante, suave y confortable. Material hipoalergénico y de fácil lavado.",HOG003_acolchado_liso_2_plazas_blanco,1070
TEC001,Aro Anillo de Luz Led 30 Cm Con Soporte,Tecnologia,"Aro de luz LED de 30cm de diámetro con soporte ajustable. Ideal para fotografía, maquillaje, streaming y videollamadas. 3 tonos de luz y 10 niveles de brillo.",TEC001_aro_anillo_de_luz_led_30_cm_con_soporte,426
TEC002,Auriculares Manos Libres Smartilike,Tecnologia,"Auriculares manos libres Smartilike con conexión Bluetooth 5.0, micrófono incorporado y cancelación de ruido. Batería de larga duración y diseño ergonómico.",TEC002_auriculares_manos_libres_smartilike,756
TEC003,Auriculares IN EAR,Tecnologia,"Auriculares in-ear con cable, sonido estéreo de alta calidad y micrófono incorporado. Diseño ergonómico para mayor comodidad y aislamiento acústico.",TEC003_auriculares_in_ear,446
TEC004,Auriculares Manos Libres JM16,Tecnologia,"Auriculares premium JM16 con Bluetooth 5.0, resistencia al agua IPX5, estuche de carga y hasta 20 horas de reproducción. Sonido de alta fidelidad y micrófono HD.",TEC004_auriculares_manos_libres_jm16,1446
TEC005,Auriculares Manos Libres M25,Tecnologia,"Auriculares M25 con tecnología Bluetooth, micrófono incorporado y control táctil. Batería de larga duración y diseño compacto. Ideal para deportes y uso diario.",TEC005_auriculares_manos_libres_m25,518
TEC006,Auriculares Manos Libres M27,Tecnologia,"Auriculares M27 con conexión inalámbrica, estuche de carga compacto y hasta 15 horas de reproducción. Resistentes al sudor y con control táctil multifunción.",TEC006_auriculares_manos_libres_m27,498
HOG004,Balanza Digital Con Display,Hogar,"Balanza digital con display LCD de alta precisión. Capacidad hasta 45kg, función de tara y apagado automático. Ideal para cocina y uso doméstico.",HOG004_balanza_digital_con_display,1598
HOG005,Balanza Digital Con Doble Display,Hogar,"Balanza digital con doble display para fácil lectura desde cualquier ángulo. Capacidad hasta 45kg, plataforma de acero inoxidable y múltiples unidades de medida.",HOG005_balanza_digital_con_doble_display,1598
HOG006,Balanza Digital Sonifer,Hogar,"Balanza digital Sonifer de alta precisión con pantalla LCD. Diseño elegante, plataforma de vidrio templado y capacidad de hasta 180kg. Múltiples funciones de medición.",HOG006_balanza_digital_sonifer,840
HOG007,Batidora Manual Niza,Hogar,Batidora manual Niza con 5 velocidades y función turbo. Varillas de acero inoxidable y motor potente para mezclas perfectas. Mango ergonómico y fácil limpieza.,HOG007_batidora_manual_niza,1118
HOG008,Batidora Niza con Base,Hogar,"Batidora Niza con base giratoria y bowl de acero inoxidable. 5 velocidades, función turbo y accesorios intercambiables. Ideal para todo tipo de preparaciones.",HOG008_batidora_niza_con_base,1118
OTR001,Biciclera Fija Randers,Otros,"Bicicleta fija Randers para entrenamiento cardiovascular. Resistencia ajustable, asiento regulable en altura y monitor LCD. Estructura robusta con capacidad hasta 120kg.",OTR001_biciclera_fija_randers,1998
HOG009,Botella Brio 500ml Blanca,Hogar,"Botella térmica Brio de 500ml color blanca. Mantiene bebidas frías por 24h y calientes por 12h. Acero inoxidable de doble pared, libre de BPA y a prueba de fugas.",HOG009_botella_brio_500ml_blanca,764
HOG010,Botella Brio 500ml Negra,Hogar,"Botella térmica Brio de 500ml color negra. Conserva temperatura ideal por horas, fabricada en acero inoxidable 18/8 de grado alimenticio. Tapa hermética y diseño elegante.",HOG010_botella_brio_500ml_negra,764
HOG011,Botella Brio 500ml Roja,Hogar,"Botella térmica Brio de 500ml color roja. Aislamiento al vacío de doble pared, resistente a golpes y perfecta para deportes, oficina o viajes. No transmite sabores ni olores.",HOG011_botella_brio_500ml_roja,764
HOG012,Brochetera SOKANY,Hogar,"Brochetera eléctrica SOKANY con placas antiadherentes. Prepara brochetas, paninis y sándwiches de forma rápida y sencilla. Luz indicadora y fácil limpieza.",HOG012_brochetera_sokany,1500
CPE001,Buclera SOKANY,Cuidado Personal,"Buclera SOKANY con revestimiento cerámico y turmalina. Calentamiento rápido, múltiples temperaturas y cable giratorio 360°. Crea rizos definidos y duraderos.",CPE001_buclera_sokany,650
HOG013,Cafetera 4 Tazas con Filtro,Hogar,"Cafetera para 4 tazas con filtro permanente lavable. Sistema antigoteo, placa calefactora y jarra de vidrio resistente. Prepara café recién molido con todo su aroma.",HOG013_cafetera_4_tazas_con_filtro,1000
HOG014,Cafetera BOMA Automatica Expresso,Hogar,"Cafetera BOMA automática para espresso con 15 bares de presión. Sistema de espumador de leche, depósito de agua extraíble y bandeja antigoteo. Café profesional en casa.",HOG014_cafetera_boma_automatica_expresso,4642
